,Err,RelErr,mu,lam,beta,sigma,mu0,lam0,beta0,sigma0,dEdm,dEdl,dEdb,dEds,success,h_pred,RelH,qd_pred,RelQd,q0_pred,RelQ0,Mass,RepliconNorm,mass,env,K,sigma_K,a,b,c_avg,c_std,sigma_cr_replicon,sigma_cr_mass,beta_cr_replicon,beta_cr_mass
148,0.06696011071858156,0.0542325724682405,-0.1914487699366271,8.954708406008912e-07,3616.222502929791,2.209306355249812,-0.1701504003642799,5.842428050015879e-06,3616.222360884599,1.6177713245839564,-0.0003339024371255,33613.62006521316,-3.86040771262328e-06,0.0076953536892744,0.0,0.0006604059719591,0.0593785141871465,5.585696478729226e-05,0.0444458636367288,6.1173232927245e-07,0.0588733395808461,0.0248715366801275,0.6280535843625553,0.024871536680127537,gutU,0.0032743,0.0270224,0.0032382218044983988,89.94101062512091,12.29781049539982,594.4852673055917,2.277863421811548,2.287874103111078,3656.3748025391665,3877.99732908452
149,0.0712639760895868,0.0543179403304689,-0.2529811013661602,3.083356967586525e-07,6905.809536242101,1.6052423081981182,-0.2928481892111405,5.287876880926183e-06,6905.809776020973,1.1706778226982597,0.001069351465579,318586.92602435994,5.602608924022638e-06,0.0068374116680188,0.0,0.0006040800826611,0.0309756610450465,4.9115092145465154e-05,0.0816175739441819,6.82734380901416e-07,0.0503605860021783,0.1381505612555158,0.2041973370355262,0.13815056125551584,gutU,0.0032743,0.0270224,0.002129307595039755,954.0414633555398,23.667043810665174,1135.247860650513,1.7072067811865475,1.655588482771398,6918.616076867101,7345.78467980773
150,0.06754986293478471,0.0549966240860118,0.4579084752566502,9.365032236670248e-07,3573.8581581438816,2.227757281033202,0.1593784583708464,1.551063301772121e-05,3573.8602989983847,1.627331049213424,-0.0001595127676619,27449.047975811194,-4.742784140163142e-06,0.0099888646572843,0.0,0.0006564998460648,0.0531125716883558,5.6213014777025305e-05,0.0511034924649458,6.10497024731923e-07,0.0607738081047338,0.0137942896475851,0.61358053744521,0.013794289647585112,gutU,0.0032743,0.0270224,0.0033469296860304406,49.29883459282174,10.627521808529108,587.5213011161665,2.296518109311548,2.3013943295722887,3609.9784194720064,3814.0259694125275
151,0.06815076424156445,0.0549986519030009,0.6151321628899477,9.909797760112954e-07,3538.859442886875,2.2381486865981595,0.4935722113948018,1.1297606158054572e-05,3538.8597392197566,1.6353586854620603,-0.0002026760693526,27221.66507630906,-1.0000092704602943e-05,-0.0117510026729507,0.0,0.0006620783827163,0.0620612822091013,5.578554371839115e-05,0.0431103911441874,6.11114216468786e-07,0.0598242823557139,0.0219095150563672,0.6322685059945452,0.02190951505636729,gutU,0.0032743,0.0270224,0.0035069381380474934,77.53469424629755,10.146031378871323,581.7680560023996,2.3080368593115477,2.312746529156111,3577.4405975743753,3778.692226375053
152,0.06845676813510335,0.0552291447672825,0.3618871105228637,8.896298965924394e-07,3595.8934446652324,2.221990346526151,-0.4643929015879873,1.6738772213450154e-05,3595.894033509314,1.6223376767981912,-7.331982247422804e-05,26811.05530397303,2.172764131512193e-07,0.0322150689160677,0.0,0.0006502718266418,0.0431220049115395,5.670380394143416e-05,0.0602805523828375,6.095148299451441e-07,0.0622848770074706,0.0041136078817183,0.5928584366159401,0.004113607881718329,gutU,0.0032743,0.0270224,0.0031990143133349613,14.792095615794171,10.927830308338134,591.1435484891225,2.284455218686548,2.294332133130555,3629.222013805858,3833.8494408630913
153,0.06870549636032768,0.0557292415904345,1.4520721586463368,1.01748751872541e-06,3505.0074410263,2.2569191399462856,0.839451473235868,1.65228391163446e-05,3505.011912098721,1.643236025730337,-0.0001871181172777,20791.015890552306,9.18545794519526e-08,0.0293528467206542,0.0,0.0006527310462874,0.0470669184419001,5.6566087561421736e-05,0.0577054517842507,6.094300195456508e-07,0.0624153545451526,0.0009833913758863,0.5963616689548394,0.0009833913758863222,gutU,0.0032743,0.0270224,0.003566301324283949,3.4467940899226504,8.154355720664,576.2034406087168,2.3121872499365477,2.3238881559705096,3536.3217500106753,3716.0999808858182
154,,0.0559371304226489,-0.1479983820113499,9.324858534085944e-07,3552.1708849195447,2.2284221264157886,-0.1166324968580445,7.235170046615345e-06,3552.17060576738,1.6322917618115096,0.0007966439144498,25784.9818227928,-3.8578489684364695e-05,-0.0991156928185289,0.0,0.0006627180057317,0.0630873221125494,5.573637556891645e-05,0.0421910166214742,6.0935351585295e-07,0.0625330525339231,0.0275812887526597,0.6424182253746082,0.02758128875265975,gutU,0.0032743,0.0270224,0.0033123490990773635,97.97345087575687,11.979274285126108,583.9559989029489,2.3070602968115477,2.308409056598977,3593.95306734142,3811.750494529555
155,0.06949971163107226,0.0564880178045932,0.1628426432494235,9.112086569095452e-07,3558.678840898944,2.230808720300111,-0.2140069421655228,1.338072821533373e-05,3558.681098236896,1.6307979656788785,0.0003973522034332,24930.671153513995,-1.84830669491548e-05,-0.0291186606979614,0.0,0.0006551353931456,0.0509238087644319,5.6406768140837885e-05,0.0547264050268863,6.085210042454e-07,0.0638138396224615,0.0118246432456985,0.6149966392712918,0.011824643245698319,gutU,0.0032743,0.0270224,0.0032426989669879437,42.08010771964522,11.272528109647702,585.025893933428,2.304963031186548,2.306297332017397,3595.2151737114445,3803.598980556428
156,0.06967312084659047,0.0565629479269408,0.1358368961846644,8.995854791757411e-07,3564.9346613160915,2.2290972088833403,-0.7560934105239678,1.404076259079382e-05,3564.936682912309,1.6293665133247204,7.15512718895388e-05,26544.625252122667,-6.780845569230687e-06,0.0083242176678794,1.0,0.0006538223964886,0.0488175884897894,5.6540459002276695e-05,0.0572262341487788,6.086307362575348e-07,0.0636450211422541,0.0092396768790047,0.609867056547607,0.009239676879004732,gutU,0.0032743,0.0270224,0.0032069634555302443,32.938844365324854,11.356052288677922,586.0542696049234,2.297882953061548,2.304272874571395,3600.773728503592,3809.442065569793
157,0.07181403608767578,0.0580851000821747,0.576077891966771,1.0142881221215813e-06,3459.55055789714,2.263031630289931,-0.7988292120590552,1.5386199783896256e-05,3459.560607612239,1.653995124889397,0.0005755818535901,20907.300793848142,-3.119456112086637e-05,-0.07017146802138,1.0,0.0006621911054024,0.0622421043046055,5.5986608869290925e-05,0.0468700237339365,6.076569380648116e-07,0.0651431722079822,0.0188268338673024,0.6417049113436587,0.01882683386730244,gutU,0.0032743,0.0270224,0.003508981038754159,65.13238360906293,10.007878992010193,568.730667205747,2.3341599061865477,2.3391057351668327,3498.6984629752656,3696.052581959672
